EFSA Q number,Parameter
EFSA-Q-2018-00223,Protein
EFSA-Q-2018-00223,Dietary fibre
EFSA-Q-2018-00223,Saccharides
EFSA-Q-2018-00223,Fat
EFSA-Q-2018-00223,Total ash
EFSA-Q-2018-00223,Water content
EFSA-Q-2018-00223,Dry matter content
